[Header]
Data File Name	C:\Users\user\Documents\mk2574\2023-04\FW-DCM-5-SCNN40_2_rxi300rt5sr10_8.qgd
Output Date	4/12/2023
Output Time	12:34:31 PM

[MC Peak Table]
# of Peaks	19
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index	Area%	Height%	SI	CAS #
1	6.025	6.013	6.047	TIC	25493	25716	0.99	0.23	   			0.23	1.08	0	0-0-0
2	26.284	26.247	26.320	TIC	10952	4259	2.57	0.10	   	n-Decanoic acid		0.10	0.18	75	334-48-5
3	36.158	36.100	36.240	TIC	50650	14520	3.49	0.45	   	Tetradecanoic acid		0.45	0.61	95	544-63-8
4	40.041	39.993	40.107	TIC	21294	6739	3.16	0.19	   	Oxacycloheptadecan-2-one		0.19	0.28	79	109-29-5
5	40.494	40.393	40.660	TIC	1656756	461942	3.59	14.63	   	n-Hexadecanoic acid		14.63	19.43	95	57-10-3
6	43.847	43.753	43.900	TIC	1371069	324690	4.22	12.11	   	9,12-Octadecadienoic acid (Z,Z)-		12.11	13.66	96	60-33-3
7	43.988	43.900	44.327	TIC	6394708	1138647	5.62	56.47	 V 	Oleic Acid		56.47	47.90	94	112-79-8
8	44.403	44.327	44.640	TIC	1306612	272623	4.79	11.54	 V 	Octadecanoic acid		11.54	11.47	93	57-11-4
9	49.767	49.740	49.793	TIC	10345	3769	2.74	0.09	   			0.09	0.16	0	0-0-0
10	49.834	49.793	49.913	TIC	47725	12630	3.78	0.42	 V 			0.42	0.53	0	0-0-0
11	50.122	50.053	50.213	TIC	68559	20126	3.41	0.61	   			0.61	0.85	0	0-0-0
12	50.436	50.387	50.493	TIC	24263	8180	2.97	0.21	   	Hexadecanoic acid, 2-hydroxy-1-(hydroxymethyl)ethyl ester		0.21	0.34	84	23470-0-0
13	52.569	52.533	52.600	TIC	18960	7080	2.68	0.17	   			0.17	0.30	0	0-0-0
14	52.639	52.600	52.707	TIC	40869	13182	3.10	0.36	 V 			0.36	0.55	0	0-0-0
15	52.807	52.760	52.840	TIC	29627	8404	3.53	0.26	   			0.26	0.35	0	0-0-0
16	52.879	52.840	52.940	TIC	63640	19085	3.33	0.56	 V 			0.56	0.80	0	0-0-0
17	53.290	53.173	53.387	TIC	154398	26263	5.88	1.36	   	9-Octadecenoic acid (Z)-, 2,3-dihydroxypropyl ester		1.36	1.10	88	111-3-5
18	53.420	53.387	53.453	TIC	11629	4288	2.71	0.10	 V 			0.10	0.18	0	0-0-0
19	53.660	53.620	53.787	TIC	16680	5132	3.25	0.15	   	Octadecanoic acid, 2,3-dihydroxypropyl ester		0.15	0.22	75	123-94-4

