[Header]
Data File Name	C:\Users\user\Documents\jla278\GCB on PW\20230410 FW SCNN 40\FW_SCNN_40_4.qgd
Output Date	4/11/2023
Output Time	12:16:24 PM

[MC Peak Table]
# of Peaks	17
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index	Area%	Height%	SI	CAS #
1	6.026	6.013	6.047	TIC	18234	16022	1.14	0.24	   			0.24	1.02	0	0-0-0
2	36.115	36.067	36.167	TIC	24740	8325	2.97	0.33	   	Tetradecanoic acid		0.33	0.53	93	544-63-8
3	40.456	40.353	40.667	TIC	1029709	256276	4.02	13.78	   	n-Hexadecanoic acid		13.78	16.37	94	57-10-3
4	43.806	43.707	43.860	TIC	805487	177462	4.54	10.78	   	9,12-Octadecadienoic acid (Z,Z)-		10.78	11.34	95	2420-56-6
5	43.945	43.860	44.267	TIC	4324316	812083	5.32	57.86	 V 	Oleic Acid		57.86	51.87	95	112-80-1
6	44.365	44.267	44.567	TIC	1023222	216419	4.73	13.69	 V 	Octadecanoic acid		13.69	13.82	94	57-11-4
7	44.580	44.567	44.600	TIC	5452	4560	1.20	0.07	 V 			0.07	0.29	0	0-0-0
8	47.901	47.853	47.947	TIC	16733	5816	2.88	0.22	   	9-Octadecenamide, (Z)-		0.22	0.37	74	301-2-0
9	48.900	48.867	48.967	TIC	12668	4748	2.67	0.17	   			0.17	0.30	0	0-0-0
10	49.005	48.967	49.073	TIC	25913	7311	3.54	0.35	 V 	1-cis-Vaccenoylglycerol		0.35	0.47	82	20379-67-3
11	49.796	49.747	49.853	TIC	26337	9954	2.65	0.35	   			0.35	0.64	0	0-0-0
12	50.078	50.027	50.113	TIC	21955	8403	2.61	0.29	   			0.29	0.54	0	0-0-0
13	52.591	52.553	52.647	TIC	20820	7973	2.61	0.28	   			0.28	0.51	0	0-0-0
14	52.747	52.720	52.793	TIC	8877	3728	2.38	0.12	   			0.12	0.24	0	0-0-0
15	53.247	53.140	53.320	TIC	58675	11956	4.91	0.79	   	9-Octadecenoic acid, 1,2,3-propanetriyl ester, (E,E,E)-		0.79	0.76	87	537-39-3
17	58.433	58.407	58.460	TIC	11154	4823	2.31	0.15	 V 			0.15	0.31	0	0-0-0

