[Header]
Data File Name	C:\Users\user\Documents\mp933\20230329_M1 to 12\M12_SCNN1000_rxi300rt5sr10_4.qgd
Output Date	3/30/2023
Output Time	12:26:16 PM

[MC Peak Table]
# of Peaks	165
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index	Area%	Height%	SI	CAS #
1	6.025	6.013	6.040	TIC	18756	18790	1.00	0.05	   	5-Aminobarbituric acid		0.05	0.28	71	118-78-5
2	7.347	7.300	7.560	TIC	2010102	544869	3.69	5.18	   	Furfural		5.18	8.17	97	98-1-1
3	8.527	8.493	8.647	TIC	147566	39393	3.75	0.38	   	2-Butanone		0.38	0.59	94	78-93-3
4	10.507	10.440	10.587	TIC	69223	18515	3.74	0.18	   	2-Cyclopenten-1-one, 2-methyl-		0.18	0.28	91	1120-73-6
5	10.697	10.587	10.827	TIC	426603	128994	3.31	1.10	 V 	Ethanone, 1-(2-furanyl)-		1.10	1.94	97	1192-62-7
6	11.007	10.960	11.033	TIC	26234	8810	2.98	0.07	   	Cyclopentane, 1,2,3,4,5-pentamethyl-		0.07	0.13	72	0-0-0
7	11.071	11.033	11.127	TIC	40376	12132	3.33	0.10	 V 	trans-2-Pentenoic acid		0.10	0.18	88	13991-37-2
8	11.486	11.413	11.613	TIC	441077	112797	3.91	1.14	   	2,5-Hexanedione		1.14	1.69	98	110-13-4
9	12.214	12.167	12.247	TIC	19522	7194	2.71	0.05	   	1-Hexene, 4,5-dimethyl-		0.05	0.11	76	16106-59-5
10	12.512	12.467	12.647	TIC	168763	46115	3.66	0.44	   	2(3H)-Furanone, dihydro-5-methyl-		0.44	0.69	95	108-29-2
11	12.869	12.807	12.960	TIC	986545	313823	3.14	2.54	   	2-Furancarboxaldehyde, 5-methyl-		2.54	4.71	97	620-2-0
12	13.006	12.960	13.133	TIC	102942	19997	5.15	0.27	 V 	2-Cyclopenten-1-one, 3-methyl-		0.27	0.30	93	2758-18-1
13	13.232	13.133	13.273	TIC	13151	5484	2.40	0.03	 V 	2,6-Heptanedione, 3-acetyl-		0.03	0.08	76	29214-57-1
14	13.427	13.380	13.467	TIC	15513	5674	2.73	0.04	   	2(5H)-Furanone, 3-methyl-		0.04	0.09	81	22122-36-7
15	13.687	13.620	13.767	TIC	200947	64421	3.12	0.52	   	Phenol		0.52	0.97	97	108-95-2
16	13.982	13.920	14.127	TIC	261700	60278	4.34	0.68	   	2-Hydroxy-gamma-butyrolactone		0.68	0.90	92	19444-84-9
17	15.273	15.180	15.433	TIC	1154004	306391	3.77	2.98	   	1,2-Cyclopentanedione, 3-methyl-		2.98	4.60	96	765-70-8
18	15.579	15.433	15.627	TIC	95613	22482	4.25	0.25	 V 	Cyclopentanone, 2-methyl-		0.25	0.34	83	1120-72-5
19	15.676	15.627	15.813	TIC	249822	56870	4.39	0.64	 V 	2-Acetyl-5-methylfuran		0.64	0.85	95	1193-79-9
20	16.053	16.027	16.120	TIC	5795	3451	1.68	0.01	   	Benzaldehyde, 2-hydroxy-		0.01	0.05	73	90-2-8
21	16.426	16.387	16.473	TIC	25359	9769	2.60	0.07	   	Phenol, 2-methyl-		0.07	0.15	88	95-48-7
22	17.336	16.527	17.353	TIC	15778979	706928	22.32	40.70	   	Pentanoic acid, 4-oxo-		40.70	10.60	94	123-76-2
23	17.404	17.353	17.667	TIC	2991977	770437	3.88	7.72	SV 	Pentanoic acid, 4-oxo-		7.72	11.56	97	123-76-2
24	17.473	17.460	17.533	TIC	4983	4230	1.18	0.01	T  	2-Furancarboxylic acid		0.01	0.06	80	88-14-2
25	17.633	17.540	17.667	TIC	21125	6859	3.08	0.05	T  	Ethanone, 1-(1-cyclohexen-1-yl)-		0.05	0.10	73	932-66-1
26	17.872	17.827	17.960	TIC	35466	10278	3.45	0.09	   	1,2-Cyclopentanedione, 3-methyl-		0.09	0.15	81	765-70-8
27	18.130	18.080	18.167	TIC	16606	6197	2.68	0.04	   	Cinnamaldehyde, (E)-		0.04	0.09	82	14371-10-9
28	18.330	18.167	18.387	TIC	154116	33379	4.62	0.40	 V 	Benzofuran, 2-methyl-		0.40	0.50	92	4265-25-2
29	18.435	18.387	18.560	TIC	158293	42465	3.73	0.41	SV 	4-Acetylbutyric acid		0.41	0.64	90	3128-6-1
30	18.634	18.587	18.720	TIC	49320	10746	4.59	0.13	   	2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-		0.13	0.16	89	21835-1-8
31	18.767	18.720	18.800	TIC	19219	5812	3.31	0.05	 V 			0.05	0.09	0	0-0-0
32	18.845	18.800	18.887	TIC	21945	7918	2.77	0.06	 V 	1-(2,4-Dimethyl-furan-3-yl)-ethanone		0.06	0.12	83	32933-7-6
33	19.025	18.967	19.073	TIC	34752	10942	3.18	0.09	   	1-Propanone, 1-(5-methyl-2-furanyl)-		0.09	0.16	84	10599-69-6
35	19.733	19.667	19.807	TIC	52397	13128	3.99	0.14	   	4-Ketopimelic		0.14	0.20	78	502-50-1
36	20.129	20.073	20.193	TIC	48528	16670	2.91	0.13	   	Ethanone, 1-(2-hydroxyphenyl)-		0.13	0.25	74	118-93-4
37	20.258	20.193	20.320	TIC	35548	10956	3.24	0.09	   	2,3-Dihydroxybenzaldehyde		0.09	0.16	86	24677-78-9
38	20.340	20.327	20.493	TIC	9085	3197	2.84	0.02	   			0.02	0.05	0	0-0-0
39	20.531	20.493	20.567	TIC	17178	6357	2.70	0.04	 V 	Ethanone, 1-(2-methylphenyl)-		0.04	0.10	83	577-16-2
40	20.621	20.567	20.667	TIC	33796	12810	2.64	0.09	   	3-Methyl-1-dodecyn-3-ol		0.09	0.19	80	24424-78-0
41	20.999	20.927	21.093	TIC	101695	26343	3.86	0.26	   	5-(Hydroxymethyl)dihydrofuran-2(3H)-one		0.26	0.40	92	10374-51-3
42	21.173	21.093	21.193	TIC	22021	5909	3.73	0.06	 V 			0.06	0.09	0	0-0-0
43	21.293	21.193	21.340	TIC	33025	5644	5.85	0.09	 V 	Catechol		0.09	0.08	81	120-80-9
44	21.573	21.527	21.593	TIC	18416	5992	3.07	0.05	   			0.05	0.09	0	0-0-0
45	21.624	21.593	21.700	TIC	39915	12354	3.23	0.10	 V 	1H-Benzimidazole, 5,6-dimethyl-		0.10	0.19	86	582-60-5
46	21.822	21.753	21.887	TIC	284573	95180	2.99	0.73	   	Benzofuran, 4,7-dimethyl-		0.73	1.43	88	28715-26-6
47	22.070	22.007	22.127	TIC	50503	12537	4.03	0.13	   	Creosol		0.13	0.19	74	93-51-6
48	22.208	22.127	22.313	TIC	258517	68059	3.80	0.67	 V 	5-Hydroxymethylfurfural		0.67	1.02	95	67-47-0
49	22.540	22.447	22.580	TIC	56649	11734	4.83	0.15	   	Cyclopenten-4-one, 1,2,3,3-tetramethyl-		0.15	0.18	75	0-0-0
50	22.653	22.580	22.693	TIC	47637	10561	4.51	0.12	 V 	5-Octen-4-one, 7-methyl-		0.12	0.16	79	32064-78-1
51	22.743	22.693	22.807	TIC	69090	21825	3.17	0.18	 V 	3,4-dimethylfuran		0.18	0.33	83	0-0-0
52	23.207	23.160	23.407	TIC	57794	8154	7.09	0.15	   			0.15	0.12	0	0-0-0
53	23.466	23.407	23.533	TIC	49158	14666	3.35	0.13	   	4-Hexen-2-one, 3,4-dimethyl-		0.13	0.22	80	53252-21-4
54	23.618	23.533	23.827	TIC	687631	104999	6.55	1.77	 V 	Hydroquinone		1.77	1.58	95	123-31-9
55	23.883	23.827	23.940	TIC	70578	20726	3.41	0.18	 V 	1H-Inden-1-one, 2,3-dihydro-		0.18	0.31	93	83-33-0
56	24.021	23.940	24.073	TIC	107515	21230	5.06	0.28	 V 			0.28	0.32	0	0-0-0
57	24.147	24.073	24.187	TIC	49161	6646	7.40	0.13	 V 			0.13	0.10	0	0-0-0
58	24.260	24.187	24.307	TIC	22639	4795	4.72	0.06	 V 	5-Isopropyl-3,3-dimethyl-2-methylene-2,3-dihydrofuran		0.06	0.07	77	81250-44-4
59	24.597	24.553	24.633	TIC	18556	8421	2.20	0.05	   	4,6-Octadienoic acid, 2-acetyl-2-methyl-, ethyl ester		0.05	0.13	72	0-0-0
60	24.709	24.653	24.760	TIC	94562	28843	3.28	0.24	   	Benzaldehyde, 3-hydroxy-		0.24	0.43	96	100-83-4
61	24.892	24.760	24.927	TIC	153317	23407	6.55	0.40	 V 	2-Coumaranone		0.40	0.35	76	553-86-6
62	24.973	24.927	25.060	TIC	142353	35490	4.01	0.37	 V 	2-Hexenoic acid, 3,4,4-trimethyl-5-oxo-, (Z)-		0.37	0.53	81	14919-56-3
63	25.147	25.060	25.180	TIC	10759	3523	3.05	0.03	 V 			0.03	0.05	0	0-0-0
64	25.500	25.467	25.620	TIC	31436	5906	5.32	0.08	   			0.08	0.09	0	0-0-0
65	25.663	25.620	25.773	TIC	72419	12424	5.83	0.19	 V 	5-t-Butyl-cycloheptene		0.19	0.19	71	0-0-0
66	25.832	25.773	25.993	TIC	74421	8649	8.60	0.19	 V 			0.19	0.13	0	0-0-0
67	26.040	25.993	26.087	TIC	20014	5527	3.62	0.05	 V 	4-Hydroxy-1-indanone		0.05	0.08	76	40731-98-4
68	26.128	26.087	26.167	TIC	45453	12565	3.62	0.12	 V 			0.12	0.19	0	0-0-0
69	26.234	26.167	26.340	TIC	442159	137103	3.23	1.14	 V 	n-Caproic acid vinyl ester		1.14	2.06	84	3050-69-9
70	26.519	26.453	26.587	TIC	111273	32370	3.44	0.29	   	1-Propanone, 1-(2-furanyl)-		0.29	0.49	79	3194-15-8
71	26.630	26.587	26.687	TIC	36890	12108	3.05	0.10	 V 			0.10	0.18	0	0-0-0
72	26.951	26.887	27.080	TIC	85289	14856	5.74	0.22	   			0.22	0.22	0	0-0-0
73	27.164	27.080	27.267	TIC	355147	83370	4.26	0.92	   	Ethanone, 1-(3-hydroxyphenyl)-		0.92	1.25	92	121-71-1
74	27.313	27.267	27.347	TIC	63745	17403	3.66	0.16	 V 	6,6,7-Trimethyl-octane-2,5-dione		0.16	0.26	75	0-0-0
75	27.376	27.347	27.447	TIC	84006	23148	3.63	0.22	 V 			0.22	0.35	0	0-0-0
76	27.570	27.447	27.613	TIC	100898	20189	5.00	0.26	 V 			0.26	0.30	0	0-0-0
77	27.653	27.613	27.760	TIC	95241	22030	4.32	0.25	 V 			0.25	0.33	0	0-0-0
78	27.828	27.760	27.927	TIC	332337	90985	3.65	0.86	   	2-Methyl-5-hydroxybenzofuran		0.86	1.36	89	6769-56-8
79	28.022	27.927	28.080	TIC	104055	23459	4.44	0.27	 V 	2-Acetylbenzofuran		0.27	0.35	85	1646-26-0
