[Header]
Data File Name	C:\Users\user\Documents\jla278\June 1st 2023\CLS_SCNN_1000_3.qgd
Output Date	6/2/2023
Output Time	2:37:02 PM

[MC Peak Table]
# of Peaks	180
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index	Area%	Height%	SI	CAS #
1	7.317	7.260	7.520	TIC	2182947	568833	3.84	4.68	   	3-Furaldehyde		4.68	7.53	96	498-60-2
2	7.990	7.920	8.073	TIC	51093	8232	6.21	0.11	   	Acetic acid, hydroxy-		0.11	0.11	88	79-14-1
3	8.501	8.453	8.660	TIC	178755	40693	4.39	0.38	   	2-Butanone		0.38	0.54	93	78-93-3
4	9.725	9.680	9.753	TIC	21013	7021	2.99	0.05	   	Propanoic acid, 2-hydroxy-, ethyl ester		0.05	0.09	87	97-64-3
5	10.474	10.407	10.580	TIC	74631	19760	3.78	0.16	   	2-Cyclopenten-1-one, 2-methyl-		0.16	0.26	89	1120-73-6
6	10.665	10.580	10.807	TIC	462226	138420	3.34	0.99	   	Ethanone, 1-(2-furanyl)-		0.99	1.83	97	1192-62-7
7	11.027	10.920	11.073	TIC	74573	16595	4.49	0.16	   	trans-2-Pentenoic acid		0.16	0.22	90	13991-37-2
8	11.458	11.400	11.593	TIC	459110	116159	3.95	0.98	   	2,5-Hexanedione		0.98	1.54	97	110-13-4
9	12.179	12.140	12.273	TIC	41381	10051	4.12	0.09	   	1-Hexene, 4,5-dimethyl-		0.09	0.13	83	16106-59-5
10	12.483	12.447	12.640	TIC	184723	44513	4.15	0.40	   	2(3H)-Furanone, dihydro-5-methyl-		0.40	0.59	95	108-29-2
11	12.838	12.780	12.933	TIC	1069189	329849	3.24	2.29	   	2-Furancarboxaldehyde, 5-methyl-		2.29	4.37	96	620-2-0
12	12.977	12.933	13.140	TIC	121434	21008	5.78	0.26	 V 	2-Cyclopenten-1-one, 3-methyl-		0.26	0.28	94	2758-18-1
13	13.193	13.167	13.360	TIC	11523	4084	2.82	0.02	   	2,4-Pentanedione, 3-ethyl-		0.02	0.05	80	1540-34-7
14	13.660	13.593	13.753	TIC	229162	73827	3.10	0.49	   	Phenol		0.49	0.98	97	108-95-2
15	13.813	13.753	13.833	TIC	18090	4445	4.07	0.04	 V 			0.04	0.06	0	0-0-0
16	13.961	13.833	14.107	TIC	281941	54990	5.13	0.60	 V 	2-Hydroxy-gamma-butyrolactone		0.60	0.73	93	19444-84-9
17	14.136	14.107	14.213	TIC	43318	12575	3.44	0.09	 V 	Benzofuran		0.09	0.17	89	271-89-6
18	14.666	14.627	14.740	TIC	18149	6006	3.02	0.04	   	1-Propanone, 1-(2-furanyl)-		0.04	0.08	86	3194-15-8
19	15.243	15.153	15.427	TIC	1286053	327406	3.93	2.76	   	2-Cyclopenten-1-one, 2-hydroxy-3-methyl-		2.76	4.34	96	80-71-7
20	15.560	15.427	15.600	TIC	89727	22391	4.01	0.19	 V 	Cyclopentanone, 2-methyl-		0.19	0.30	81	1120-72-5
21	15.644	15.600	15.787	TIC	285839	64844	4.41	0.61	 V 	2-Acetyl-5-methylfuran		0.61	0.86	95	1193-79-9
22	15.967	15.940	16.087	TIC	35345	3887	9.09	0.08	   			0.08	0.05	0	0-0-0
23	16.124	16.087	16.167	TIC	23914	8458	2.83	0.05	 V 	4-Octanone, 2-methyl-		0.05	0.11	77	7492-38-8
24	16.400	16.353	16.447	TIC	23068	9224	2.50	0.05	   	Phenol, 2-methyl-		0.05	0.12	90	95-48-7
25	16.998	16.447	17.013	TIC	6561353	428587	15.31	14.06	 V 	Pentanoic acid, 4-oxo-		14.06	5.68	89	123-76-2
26	17.377	17.013	17.420	TIC	14579856	862755	16.90	31.25	 V 	Pentanoic acid, 4-oxo-		31.25	11.42	97	123-76-2
27	17.440	17.420	17.507	TIC	111003	34762	3.19	0.24	 V 	2-Furancarboxylic acid		0.24	0.46	87	88-14-2
28	17.607	17.507	17.653	TIC	66094	6845	9.66	0.14	 V 			0.14	0.09	0	0-0-0
29	17.846	17.800	17.927	TIC	30203	9735	3.10	0.06	   	1,2-Cyclopentanedione, 3-methyl-		0.06	0.13	83	765-70-8
30	18.084	18.033	18.133	TIC	26158	7944	3.29	0.06	   	Cinnamaldehyde, (E)-		0.06	0.11	87	14371-10-9
31	18.288	18.133	18.347	TIC	193094	44476	4.34	0.41	 V 	Benzofuran, 2-methyl-		0.41	0.59	89	4265-25-2
32	18.401	18.347	18.513	TIC	170021	52287	3.25	0.36	 V 	4-Acetylbutyric acid		0.36	0.69	90	3128-6-1
33	18.603	18.567	18.760	TIC	66931	11001	6.08	0.14	   	2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-		0.14	0.15	90	21835-1-8
34	18.809	18.767	18.847	TIC	16115	5825	2.77	0.03	   	1-(2,4-Dimethyl-furan-3-yl)-ethanone		0.03	0.08	86	32933-7-6
35	18.991	18.920	19.060	TIC	57236	15559	3.68	0.12	   	1-Propanone, 1-(5-methyl-2-furanyl)-		0.12	0.21	84	10599-69-6
36	19.688	19.633	19.767	TIC	71336	19263	3.70	0.15	   	4-Ketopimelic		0.15	0.26	81	502-50-1
37	19.804	19.767	19.853	TIC	14189	5080	2.79	0.03	 V 	4-Acetylbutyric acid		0.03	0.07	80	3128-6-1
38	20.094	20.033	20.147	TIC	57003	16340	3.49	0.12	   	Ethanone, 1-(2-hydroxyphenyl)-		0.12	0.22	77	118-93-4
39	20.220	20.147	20.300	TIC	48386	11902	4.07	0.10	 V 	2,3-Dihydroxybenzaldehyde		0.10	0.16	88	24677-78-9
40	20.484	20.433	20.527	TIC	25605	8464	3.03	0.05	   	Ethanone, 1-(3-methylphenyl)-		0.05	0.11	89	585-74-0
41	20.587	20.533	20.633	TIC	45345	16151	2.81	0.10	   	3-Methyl-1-dodecyn-3-ol		0.10	0.21	77	24424-78-0
42	20.973	20.880	21.047	TIC	109510	27436	3.99	0.23	   	5-(Hydroxymethyl)dihydrofuran-2(3H)-one		0.23	0.36	95	10374-51-3
43	21.107	21.047	21.220	TIC	57358	6955	8.25	0.12	 V 			0.12	0.09	0	0-0-0
44	21.238	21.220	21.293	TIC	26189	11908	2.20	0.06	 V 	Catechol		0.06	0.16	88	120-80-9
45	21.578	21.493	21.687	TIC	86984	18788	4.63	0.19	   	1H-Benzimidazole, 5,6-dimethyl-		0.19	0.25	86	582-60-5
46	21.782	21.700	21.847	TIC	367806	121097	3.04	0.79	   	Benzofuran, 4,7-dimethyl-		0.79	1.60	88	28715-26-6
47	22.017	21.847	22.100	TIC	142457	20228	7.04	0.31	 V 			0.31	0.27	0	0-0-0
48	22.181	22.100	22.320	TIC	341421	71646	4.77	0.73	 V 	5-Hydroxymethylfurfural		0.73	0.95	92	67-47-0
49	22.503	22.320	22.573	TIC	119306	16342	7.30	0.26	 V 	Cyclopenten-4-one, 1,2,3,3-tetramethyl-		0.26	0.22	74	0-0-0
50	22.618	22.573	22.660	TIC	50041	13807	3.62	0.11	 V 	5-Octen-4-one, 7-methyl-		0.11	0.18	80	32064-78-1
51	22.709	22.660	22.780	TIC	83800	25170	3.33	0.18	 V 	3,4-dimethylfuran		0.18	0.33	83	0-0-0
