[Header]
Data File Name	C:\Users\user\Documents\mp933\20230329_M1 to 12\M12_SCNN1000_rxi300rt5sr10_4.qgd
Output Date	3/30/2023
Output Time	12:26:16 PM

[MC Peak Table]
# of Peaks	165
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index	Area%	Height%	SI	CAS #
1	6.025	6.013	6.040	TIC	18756	18790	1.00	0.05	   	5-Aminobarbituric acid		0.05	0.28	71	118-78-5
2	7.347	7.300	7.560	TIC	2010102	544869	3.69	5.18	   	Furfural		5.18	8.17	97	98-1-1
3	8.527	8.493	8.647	TIC	147566	39393	3.75	0.38	   	2-Butanone		0.38	0.59	94	78-93-3
4	10.507	10.440	10.587	TIC	69223	18515	3.74	0.18	   	2-Cyclopenten-1-one, 2-methyl-		0.18	0.28	91	1120-73-6
5	10.697	10.587	10.827	TIC	426603	128994	3.31	1.10	 V 	Ethanone, 1-(2-furanyl)-		1.10	1.94	97	1192-62-7
6	11.007	10.960	11.033	TIC	26234	8810	2.98	0.07	   	Cyclopentane, 1,2,3,4,5-pentamethyl-		0.07	0.13	72	0-0-0
7	11.071	11.033	11.127	TIC	40376	12132	3.33	0.10	 V 	trans-2-Pentenoic acid		0.10	0.18	88	13991-37-2
8	11.486	11.413	11.613	TIC	441077	112797	3.91	1.14	   	2,5-Hexanedione		1.14	1.69	98	110-13-4
9	12.214	12.167	12.247	TIC	19522	7194	2.71	0.05	   	1-Hexene, 4,5-dimethyl-		0.05	0.11	76	16106-59-5
10	12.512	12.467	12.647	TIC	168763	46115	3.66	0.44	   	2(3H)-Furanone, dihydro-5-methyl-		0.44	0.69	95	108-29-2
11	12.869	12.807	12.960	TIC	986545	313823	3.14	2.54	   	2-Furancarboxaldehyde, 5-methyl-		2.54	4.71	97	620-2-0
12	13.006	12.960	13.133	TIC	102942	19997	5.15	0.27	 V 	2-Cyclopenten-1-one, 3-methyl-		0.27	0.30	93	2758-18-1
13	13.232	13.133	13.273	TIC	13151	5484	2.40	0.03	 V 	2,6-Heptanedione, 3-acetyl-		0.03	0.08	76	29214-57-1
14	13.427	13.380	13.467	TIC	15513	5674	2.73	0.04	   	2(5H)-Furanone, 3-methyl-		0.04	0.09	81	22122-36-7
15	13.687	13.620	13.767	TIC	200947	64421	3.12	0.52	   	Phenol		0.52	0.97	97	108-95-2

