[Header]
Data File Name	C:\Users\user\Documents\jla278\June 1st 2023\CLS_SCNN_1000_2.qgd
Output Date	6/2/2023
Output Time	2:35:45 PM

[MC Peak Table]
# of Peaks	199
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index	Area%	Height%	SI	CAS #
1	7.319	7.267	7.500	TIC	2200244	591034	3.72	4.56	   	3-Furaldehyde		4.56	7.32	96	498-60-2
2	8.502	8.453	8.653	TIC	181021	44551	4.06	0.38	   	2-Butanone		0.38	0.55	93	78-93-3
3	10.474	10.413	10.553	TIC	64531	19823	3.26	0.13	   	2-Cyclopenten-1-one, 2-methyl-		0.13	0.25	89	1120-73-6
4	10.667	10.553	10.793	TIC	462100	144085	3.21	0.96	 V 	Ethanone, 1-(2-furanyl)-		0.96	1.78	97	1192-62-7
5	10.847	10.793	10.867	TIC	9069	3392	2.67	0.02	 V 			0.02	0.04	0	0-0-0
6	10.953	10.867	11.000	TIC	26742	6894	3.88	0.06	 V 			0.06	0.09	0	0-0-0
7	11.027	11.000	11.093	TIC	35791	12737	2.81	0.07	 V 	trans-2-Pentenoic acid		0.07	0.16	85	13991-37-2
8	11.456	11.387	11.573	TIC	472362	120142	3.93	0.98	   	2,5-Hexanedione		0.98	1.49	96	110-13-4
9	12.179	12.133	12.273	TIC	49778	11637	4.28	0.10	   	2,4,4-Trimethyl-1-hexene		0.10	0.14	81	51174-12-0
10	12.372	12.333	12.393	TIC	9910	4642	2.13	0.02	   			0.02	0.06	0	0-0-0
11	12.485	12.393	12.633	TIC	188688	45185	4.18	0.39	 V 	2(3H)-Furanone, dihydro-5-methyl-		0.39	0.56	95	108-29-2
12	12.840	12.787	12.933	TIC	1085100	342267	3.17	2.25	   	2-Furancarboxaldehyde, 5-methyl-		2.25	4.24	96	620-2-0
13	12.968	12.933	13.060	TIC	87355	21161	4.13	0.18	 V 	2-Cyclopenten-1-one, 3-methyl-		0.18	0.26	94	2758-18-1
14	13.187	13.153	13.360	TIC	16340	4660	3.51	0.03	   	2,6-Heptanedione, 3-acetyl-		0.03	0.06	79	29214-57-1
15	13.386	13.360	13.427	TIC	11495	5633	2.04	0.02	 V 	4-Methyl-5H-furan-2-one		0.02	0.07	73	6124-79-4
16	13.661	13.600	13.760	TIC	228750	75153	3.04	0.47	   	Phenol		0.47	0.93	96	108-95-2
