[Header]
Data File Name	C:\Users\user\Documents\mk2574\2023-04\FW-DCM-5-SCNN40_rxi300rt5sr10_7.qgd
Output Date	4/12/2023
Output Time	12:33:58 PM

[MC Peak Table]
# of Peaks	18
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index	Area%	Height%	SI	CAS #
1	6.025	6.013	6.040	TIC	23386	24797	0.94	0.19	   			0.19	1.01	0	0-0-0
2	36.163	36.107	36.233	TIC	44389	15019	2.96	0.37	   	Tetradecanoic acid		0.37	0.61	94	544-63-8
3	40.052	40.000	40.087	TIC	15068	5705	2.64	0.13	   	Oxacycloheptadecan-2-one		0.13	0.23	82	109-29-5
4	40.492	40.387	40.733	TIC	1878180	493759	3.80	15.64	   	n-Hexadecanoic acid		15.64	20.04	95	57-10-3
5	43.847	43.733	43.900	TIC	1456119	339605	4.29	12.12	   	9,12-Octadecadienoic acid (Z,Z)-		12.12	13.78	95	60-33-3
6	43.986	43.900	44.280	TIC	6379752	1147599	5.56	53.11	 V 	Oleic Acid		53.11	46.58	93	112-80-1
7	44.402	44.280	44.653	TIC	1635947	295276	5.54	13.62	 V 	Octadecanoic acid		13.62	11.98	93	57-11-4
8	44.733	44.653	44.780	TIC	62240	9543	6.52	0.52	 V 	9-Octadecenamide, (Z)-		0.52	0.39	72	301-2-0
9	47.947	47.900	48.007	TIC	21557	6508	3.31	0.18	   	13-Docosenamide, (Z)-		0.18	0.26	83	112-84-5
10	49.838	49.780	49.913	TIC	43650	11482	3.80	0.36	   			0.36	0.47	0	0-0-0
11	50.121	50.060	50.193	TIC	67544	21082	3.20	0.56	   			0.56	0.86	0	0-0-0
12	50.440	50.400	50.500	TIC	21776	7918	2.75	0.18	   	Hexadecanoic acid, 2-hydroxy-1-(hydroxymethyl)ethyl ester		0.18	0.32	83	23470-0-0
13	52.560	52.540	52.607	TIC	24821	6705	3.70	0.21	   			0.21	0.27	0	0-0-0
14	52.636	52.607	52.700	TIC	45274	14115	3.21	0.38	 V 			0.38	0.57	0	0-0-0
15	52.800	52.700	52.840	TIC	44390	10454	4.25	0.37	 V 			0.37	0.42	0	0-0-0
16	52.873	52.840	52.967	TIC	103990	23922	4.35	0.87	 V 			0.87	0.97	0	0-0-0
17	53.027	52.967	53.047	TIC	20842	5402	3.86	0.17	 V 			0.17	0.22	0	0-0-0
18	53.289	53.167	53.367	TIC	123324	25076	4.92	1.03	   	9-Octadecenoic acid (Z)-, 2,3-dihydroxypropyl ester		1.03	1.02	85	111-3-5

