[Header]
Data File Name	C:\Users\user\Documents\jla278\June 1st 2023\CLS_SCNN_1000_2.qgd
Output Date	6/2/2023
Output Time	2:35:45 PM

[MC Peak Table]
# of Peaks	199
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index	Area%	Height%	SI	CAS #
1	7.319	7.267	7.500	TIC	2200244	591034	3.72	4.56	   	3-Furaldehyde		4.56	7.32	96	498-60-2
2	8.502	8.453	8.653	TIC	181021	44551	4.06	0.38	   	2-Butanone		0.38	0.55	93	78-93-3
3	10.474	10.413	10.553	TIC	64531	19823	3.26	0.13	   	2-Cyclopenten-1-one, 2-methyl-		0.13	0.25	89	1120-73-6
4	10.667	10.553	10.793	TIC	462100	144085	3.21	0.96	 V 	Ethanone, 1-(2-furanyl)-		0.96	1.78	97	1192-62-7
5	10.847	10.793	10.867	TIC	9069	3392	2.67	0.02	 V 			0.02	0.04	0	0-0-0
6	10.953	10.867	11.000	TIC	26742	6894	3.88	0.06	 V 			0.06	0.09	0	0-0-0
7	11.027	11.000	11.093	TIC	35791	12737	2.81	0.07	 V 	trans-2-Pentenoic acid		0.07	0.16	85	13991-37-2
8	11.456	11.387	11.573	TIC	472362	120142	3.93	0.98	   	2,5-Hexanedione		0.98	1.49	96	110-13-4
9	12.179	12.133	12.273	TIC	49778	11637	4.28	0.10	   	2,4,4-Trimethyl-1-hexene		0.10	0.14	81	51174-12-0
10	12.372	12.333	12.393	TIC	9910	4642	2.13	0.02	   			0.02	0.06	0	0-0-0
11	12.485	12.393	12.633	TIC	188688	45185	4.18	0.39	 V 	2(3H)-Furanone, dihydro-5-methyl-		0.39	0.56	95	108-29-2
12	12.840	12.787	12.933	TIC	1085100	342267	3.17	2.25	   	2-Furancarboxaldehyde, 5-methyl-		2.25	4.24	96	620-2-0
13	12.968	12.933	13.060	TIC	87355	21161	4.13	0.18	 V 	2-Cyclopenten-1-one, 3-methyl-		0.18	0.26	94	2758-18-1
14	13.187	13.153	13.360	TIC	16340	4660	3.51	0.03	   	2,6-Heptanedione, 3-acetyl-		0.03	0.06	79	29214-57-1
15	13.386	13.360	13.427	TIC	11495	5633	2.04	0.02	 V 	4-Methyl-5H-furan-2-one		0.02	0.07	73	6124-79-4
16	13.661	13.600	13.760	TIC	228750	75153	3.04	0.47	   	Phenol		0.47	0.93	96	108-95-2
17	13.962	13.893	14.107	TIC	263734	56473	4.67	0.55	   	2-Hydroxy-gamma-butyrolactone		0.55	0.70	93	19444-84-9
18	14.140	14.107	14.207	TIC	28521	10106	2.82	0.06	 V 	Benzofuran		0.06	0.13	90	271-89-6
19	14.663	14.620	14.727	TIC	23227	6948	3.34	0.05	   	1-Propanone, 1-(2-furanyl)-		0.05	0.09	83	3194-15-8
20	15.243	15.153	15.407	TIC	1281623	328825	3.90	2.66	   	2-Cyclopenten-1-one, 2-hydroxy-3-methyl-		2.66	4.07	97	80-71-7
21	15.556	15.507	15.587	TIC	71572	23302	3.07	0.15	   	2-Furanmethanol		0.15	0.29	81	98-0-0
22	15.640	15.587	15.780	TIC	294448	66160	4.45	0.61	 V 	2-Acetyl-5-methylfuran		0.61	0.82	96	1193-79-9
23	16.116	16.073	16.220	TIC	30391	7939	3.83	0.06	   	4-Octanone, 2-methyl-		0.06	0.10	75	7492-38-8
24	16.398	16.347	16.447	TIC	27161	10316	2.63	0.06	   	Phenol, 2-methyl-		0.06	0.13	89	95-48-7
25	17.218	16.447	17.233	TIC	14092338	673999	20.91	29.23	 V 	Pentanoic acid, 4-oxo-		29.23	8.34	83	123-76-2
26	17.365	17.233	17.627	TIC	7251313	838026	8.65	15.04	SV 	Pentanoic acid, 4-oxo-		15.04	10.37	97	123-76-2
27	17.434	17.420	17.467	TIC	11031	9364	1.18	0.02	T  	2-Furancarboxylic acid		0.02	0.12	86	88-14-2
28	17.533	17.520	17.547	TIC	1065	1835	0.58	0.00	T  			0.00	0.02	0	0-0-0
29	17.587	17.553	17.627	TIC	8131	3858	2.11	0.02	T  	Ethanone, 1-(1-cyclohexen-1-yl)-		0.02	0.05	73	932-66-1
30	17.849	17.800	17.927	TIC	33543	10878	3.08	0.07	   	1,2-Cyclopentanedione, 3-methyl-		0.07	0.13	82	765-70-8
31	18.084	18.040	18.147	TIC	27661	8492	3.26	0.06	   	Cinnamaldehyde, (E)-		0.06	0.11	86	14371-10-9
32	18.291	18.147	18.347	TIC	207220	43072	4.81	0.43	 V 	Benzofuran, 2-methyl-		0.43	0.53	91	4265-25-2
33	18.400	18.347	18.467	TIC	186654	55342	3.37	0.39	 V 	4-Acetylbutyric acid		0.39	0.69	90	3128-6-1
34	18.500	18.467	18.520	TIC	16039	5751	2.79	0.03	 V 			0.03	0.07	0	0-0-0
35	18.608	18.520	18.633	TIC	43261	11992	3.61	0.09	 V 	2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-		0.09	0.15	85	21835-1-8
36	18.653	18.633	18.680	TIC	20210	8682	2.33	0.04	 V 			0.04	0.11	0	0-0-0
37	18.808	18.680	18.853	TIC	64317	11001	5.85	0.13	 V 	1-(2,4-Dimethyl-furan-3-yl)-ethanone		0.13	0.14	83	32933-7-6
38	18.992	18.933	19.073	TIC	44265	13886	3.19	0.09	   	1-Propanone, 1-(5-methyl-2-furanyl)-		0.09	0.17	86	10599-69-6
39	19.687	19.640	19.773	TIC	83827	20196	4.15	0.17	   	4-Ketopimelic		0.17	0.25	82	502-50-1
40	19.801	19.773	19.867	TIC	34760	11266	3.09	0.07	 V 	4-Acetylbutyric acid		0.07	0.14	80	3128-6-1
41	20.089	20.027	20.147	TIC	69696	19350	3.60	0.14	   	Ethanone, 1-(2-hydroxyphenyl)-		0.14	0.24	80	118-93-4
42	20.230	20.147	20.280	TIC	65284	12104	5.39	0.14	 V 	2,3-Dihydroxybenzaldehyde		0.14	0.15	86	24677-78-9
43	20.491	20.420	20.533	TIC	27826	8498	3.27	0.06	   	Ethanone, 1-(2-methylphenyl)-		0.06	0.11	88	577-16-2
44	20.588	20.540	20.633	TIC	38899	13898	2.80	0.08	   	3-Methyl-1-dodecyn-3-ol		0.08	0.17	78	24424-78-0
45	20.973	20.880	21.053	TIC	107740	28277	3.81	0.22	   	5-(Hydroxymethyl)dihydrofuran-2(3H)-one		0.22	0.35	95	10374-51-3
46	21.120	21.053	21.213	TIC	55851	8130	6.87	0.12	 V 			0.12	0.10	0	0-0-0
47	21.237	21.213	21.307	TIC	32353	10880	2.97	0.07	 V 	Catechol		0.07	0.13	85	120-80-9
48	21.585	21.487	21.667	TIC	87426	16776	5.21	0.18	   	1H-Benzimidazole, 5,6-dimethyl-		0.18	0.21	86	582-60-5
49	21.784	21.700	21.853	TIC	361835	121413	2.98	0.75	   	Benzofuran, 4,7-dimethyl-		0.75	1.50	88	28715-26-6
50	22.038	21.953	22.087	TIC	89800	17831	5.04	0.19	   	Creosol		0.19	0.22	74	93-51-6
51	22.182	22.087	22.353	TIC	322925	67005	4.82	0.67	 V 	5-Hydroxymethylfurfural		0.67	0.83	92	67-47-0
52	22.453	22.353	22.473	TIC	31941	9715	3.29	0.07	 V 			0.07	0.12	0	0-0-0
53	22.497	22.473	22.580	TIC	70703	16777	4.21	0.15	 V 	Cyclopenten-4-one, 1,2,3,3-tetramethyl-		0.15	0.21	74	0-0-0
54	22.619	22.580	22.660	TIC	46550	14181	3.28	0.10	 V 	2-Acetonylcyclopentanone		0.10	0.18	79	60415-94-3
55	22.710	22.660	22.780	TIC	78577	24861	3.16	0.16	 V 	3,4-dimethylfuran		0.16	0.31	83	0-0-0
56	23.199	23.140	23.267	TIC	27628	7971	3.47	0.06	   			0.06	0.10	0	0-0-0
57	23.430	23.373	23.507	TIC	59805	18087	3.31	0.12	   	Cyclobutanecarboxylic acid, tridec-2-ynyl ester		0.12	0.22	78	0-0-0
58	23.596	23.527	23.787	TIC	847688	118669	7.14	1.76	   	Hydroquinone		1.76	1.47	95	123-31-9
59	23.848	23.787	23.920	TIC	96946	25075	3.87	0.20	 V 	1H-Inden-1-one, 2,3-dihydro-		0.20	0.31	94	83-33-0
60	23.976	23.920	24.167	TIC	159958	20872	7.66	0.33	 V 			0.33	0.26	0	0-0-0
61	24.561	24.513	24.627	TIC	30777	11009	2.80	0.06	   	3-Undecene-2,5,10-trione, 6,6-dimethyl-		0.06	0.14	73	51298-67-0
62	24.683	24.627	24.733	TIC	119334	33626	3.55	0.25	   	Benzaldehyde, 3-hydroxy-		0.25	0.42	95	100-83-4
63	24.870	24.733	24.893	TIC	188577	30276	6.23	0.39	 V 	2-Coumaranone		0.39	0.37	80	553-86-6
64	24.938	24.893	25.040	TIC	191509	45503	4.21	0.40	 V 	2-Hexenoic acid, 3,4,4-trimethyl-5-oxo-, (Z)-		0.40	0.56	80	14919-56-3
65	25.113	25.040	25.140	TIC	14689	5762	2.55	0.03	 V 			0.03	0.07	0	0-0-0
66	25.460	25.433	25.573	TIC	23156	5091	4.55	0.05	   			0.05	0.06	0	0-0-0
67	25.613	25.573	25.653	TIC	38694	9929	3.90	0.08	 V 	Cyclohexanol, 2-methyl-, propionate, trans-		0.08	0.12	70	15287-79-3
68	25.687	25.653	25.740	TIC	42164	12415	3.40	0.09	 V 			0.09	0.15	0	0-0-0
69	26.007	25.973	26.053	TIC	19733	4840	4.08	0.04	   	4-Hydroxy-1-indanone		0.04	0.06	82	40731-98-4
70	26.080	26.053	26.140	TIC	49975	11413	4.38	0.10	 V 			0.10	0.14	0	0-0-0
71	26.200	26.140	26.340	TIC	539434	166619	3.24	1.12	 V 	p-Nitrophenyl hexanoate		1.12	2.06	84	956-75-2
72	26.485	26.420	26.547	TIC	131705	39795	3.31	0.27	   	2-((3,3-Dimethyloxiran-2-yl)methyl)-3-methylfuran		0.27	0.49	80	92356-6-4
73	26.601	26.547	26.667	TIC	67579	17135	3.94	0.14	 V 			0.14	0.21	0	0-0-0
74	26.720	26.667	26.747	TIC	15465	3420	4.52	0.03	 V 			0.03	0.04	0	0-0-0
75	26.914	26.847	27.027	TIC	85132	17000	5.01	0.18	   			0.18	0.21	0	0-0-0
76	27.139	27.027	27.240	TIC	412129	97003	4.25	0.85	 V 	Ethanone, 1-(3-hydroxyphenyl)-		0.85	1.20	92	121-71-1
77	27.273	27.240	27.307	TIC	62934	18937	3.32	0.13	 V 	6,6,7-Trimethyl-octane-2,5-dione		0.13	0.23	72	0-0-0
78	27.344	27.307	27.413	TIC	117059	32376	3.62	0.24	 V 	2-Cyclohexen-1-one, 4,4,6-trimethyl-		0.24	0.40	75	13395-73-8
79	27.541	27.413	27.580	TIC	128072	25597	5.00	0.27	 V 			0.27	0.32	0	0-0-0
80	27.623	27.580	27.707	TIC	124589	27486	4.53	0.26	 V 			0.26	0.34	0	0-0-0
81	27.794	27.727	27.900	TIC	425241	120082	3.54	0.88	   	Pyrrole-3-carbonitrile, 5-formyl-2,4-dimethyl-		0.88	1.49	88	32487-71-1
82	27.992	27.900	28.047	TIC	122801	29950	4.10	0.25	 V 	2-Acetylbenzofuran		0.25	0.37	87	1646-26-0
83	28.209	28.160	28.260	TIC	33905	11392	2.98	0.07	   	Furan, 2,2'-methylenebis-		0.07	0.14	78	1197-40-6
